Waterbody Name,Acres_Mile,Boat Launch Type,Boat Launch Owner,Amenities,Fish Species,Ice Fishing,Comments,Boat Launch Information,Waterbody Information,Contour Map of Waterbody,Special Regulations on Waterbody,County,Longitude,Latitude,Location
Blydenburgh Lake,100,None,None,Boat Rental - Campsite,American Black Bass - Sunfish - Yellow Perch - Black Crappie,Ice Fishing Permitted,Suffolk County permit required (631-854-4949) - electric motors only,,http://www.dec.ny.gov/outdoor/24154.html,http://www.dec.ny.gov/docs/fish_marine_pdf/blydlkmap.pdf,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,-73.225481729,40.83756035,"(40.83756035, -73.225481729)"
Canaan Lake,26,Hand Launch,Municipal,,Brown Trout - Rainbow Trout - American Black Bass - Sunfish - Yellow Perch - Chain Pickerel,Ice Fishing Permitted,Electric motors only,,http://www.dec.ny.gov/outdoor/24156.html,http://www.dec.ny.gov/docs/fish_marine_pdf/canaanlkmap.pdf,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,-73.021153912,40.787929802,"(40.787929802, -73.021153912)"
Central Park Pond,18,None,None,,American Black Bass - Sunfish - Yellow Perch - Black Crappie - Common carp,,Shore fishing only,,http://www.dec.ny.gov/outdoor/61596.html,http://www.dec.ny.gov/docs/fish_marine_pdf/Centpklkmap.pdf,http://www.dec.ny.gov/outdoor/31469.html,New York,-73.972782647,40.776705094,"(40.776705094, -73.972782647)"
Clove Lake,10,None,None,,American Black Bass - Sunfish,,Shore fishing only,,,,http://www.dec.ny.gov/outdoor/31469.html,Richmond,-74.108469489,40.617769261,"(40.617769261, -74.108469489)"
Deep Pond,32,Hand Launch,DEC,,Brown Trout - Sunfish - Yellow Perch - Chain Pickerel,Ice Fishing Permitted,DEC access permit required (631-444-0280) - Electric motors only - .25 mile carry to hand launch.,http://www.dec.ny.gov/outdoor/23865.html,http://www.dec.ny.gov/outdoor/24157.html,http://www.dec.ny.gov/docs/fish_marine_pdf/deepdmap.pdf,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,-72.831202902,40.936095002,"(40.936095002, -72.831202902)"
Forge Pond,120,Hand Launch,DEC,Boat Rental,American Black Bass - Sunfish - Yellow Perch - Black Crappie - Chain Pickerel - Common carp,Ice Fishing Permitted,10 horsepower limit,http://www.dec.ny.gov/outdoor/23865.html,http://www.dec.ny.gov/outdoor/24159.html,,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,-72.725655336,40.913680467,"(40.913680467, -72.725655336)"
Fort Pond,192,Hand Launch,DEC,,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Walleye - Common carp,Ice Fishing Permitted,Electric motors only,http://www.dec.ny.gov/outdoor/23865.html,http://www.dec.ny.gov/outdoor/24160.html,http://www.dec.ny.gov/docs/fish_marine_pdf/fortpdmap.pdf,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,-71.950196521,41.040478839,"(41.040478839, -71.950196521)"
Fresh Pond - Hither Hills,35,Trailer Unimproved,OPRHP (State Parks),Campsite,American Black Bass - Sunfish - Yellow Perch - Black Crappie,Ice Fishing Permitted,OPRHP permit required (631-669-1000) for non-tidal portion - Electric motors only,,,http://www.dec.ny.gov/docs/fish_marine_pdf/freshpdmap.pdf,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,-72.023374656,41.017450085,"(41.017450085, -72.023374656)"
Grant Park Pond,6,None,None,,American Black Bass - Sunfish - Common carp,,Shore fishing only,,http://www.dec.ny.gov/outdoor/24164.html,,http://www.dec.ny.gov/outdoor/31466.html,Nassau,-73.686902595,40.643862646,"(40.643862646, -73.686902595)"
Great Pond,50,Hand Launch,Municipal,,American Black Bass - Sunfish - Yellow Perch - Black Crappie - Chain Pickerel,Ice Fishing Permitted,Town of Southold parking permit required (631-765-5182) - Electric motors only,,http://www.dec.ny.gov/outdoor/24165.html,,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,-72.454373175,41.06683102,"(41.06683102, -72.454373175)"
Hards Lake,30,None,None,Boat Rental - Campsite,Brown Trout - Rainbow Trout - American Black Bass - Sunfish,,Suffolk County permit required (631-854-4949) - electric motors only,,,,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,-72.890552333,40.813034099,"(40.813034099, -72.890552333)"
Harlem Meer,11,None,None,,American Black Bass - Sunfish - Black Crappie - Common carp,,Shore fishing only,,,,http://www.dec.ny.gov/outdoor/31469.html,New York,-73.951577196,40.796552732,"(40.796552732, -73.951577196)"
Hempstead Lake,167,Hand Launch,OPRHP (State Parks),,American Black Bass - Sunfish - Yellow Perch - Black Crappie - Common carp,,Electric motors only - OPRHP boating permit required (516-766-1029),http://www.dec.ny.gov/outdoor/23884.html,http://www.dec.ny.gov/outdoor/24167.html,http://www.dec.ny.gov/docs/fish_marine_pdf/hemplkmap.pdf,http://www.dec.ny.gov/outdoor/31466.html,Nassau,-73.644521077,40.676117317,"(40.676117317, -73.644521077)"
Kissena Lake,8,None,None,,American Black Bass - Sunfish - Yellow Perch - Black Crappie - Common carp,,Shore fishing only,,http://www.dec.ny.gov/outdoor/59993.html,http://www.dec.ny.gov/docs/fish_marine_pdf/kisslkmap.pdf,http://www.dec.ny.gov/outdoor/31469.html,Queens,-73.805475679,40.748092242,"(40.748092242, -73.805475679)"
Lake Ronkonkoma,240,Trailer Improved,DEC,Fishing Pier,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Chain Pickerel - Walleye - Common carp,Ice Fishing Permitted,Electric motors only,http://www.dec.ny.gov/outdoor/23865.html,http://www.dec.ny.gov/outdoor/24173.html,http://www.dec.ny.gov/docs/fish_marine_pdf/lkronkmap.pdf,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,-73.122839607,40.827835195,"(40.827835195, -73.122839607)"
Laurel Lake,30,Hand Launch,DEC,,Brown Trout - Rainbow Trout - American Black Bass - Sunfish - Yellow Perch - Chain Pickerel,Ice Fishing Permitted,Electric motors only,http://www.dec.ny.gov/outdoor/23865.html,http://www.dec.ny.gov/outdoor/24175.html,http://www.dec.ny.gov/docs/fish_marine_pdf/laurlkmap.pdf,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,-72.557495755,40.978789823,"(40.978789823, -72.557495755)"
Lower Lake,25,Trailer Improved,DEC,,Brown Trout - Rainbow Trout - American Black Bass - Sunfish - Yellow Perch - Black Crappie,Ice Fishing Permitted,Electric motors only,,,http://www.dec.ny.gov/docs/fish_marine_pdf/lowerlkmap.pdf,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,-72.919804072,40.834735119,"(40.834735119, -72.919804072)"
Massapequa Lake,40,None,None,,American Black Bass - Sunfish - Black Crappie - Chain Pickerel - Common carp,,Shore fishing only,,http://www.dec.ny.gov/outdoor/24181.html,,http://www.dec.ny.gov/outdoor/31466.html,Nassau,-73.467737141,40.668993715,"(40.668993715, -73.467737141)"
Massapequa Reservoir,20,None,None,,Brown Trout - Rainbow Trout - American Black Bass - Sunfish - Black Crappie - Common carp,,Shore fishing only,,http://www.dec.ny.gov/outdoor/24182.html,http://www.dec.ny.gov/docs/fish_marine_pdf/massaresmap.pdf,http://www.dec.ny.gov/outdoor/31466.html,Nassau,-73.463687602,40.678361472,"(40.678361472, -73.463687602)"
Oakland Lake,11,None,None,,American Black Bass - Sunfish,,Shore fishing only,,,http://www.dec.ny.gov/docs/fish_marine_pdf/oaklkmap.pdf,http://www.dec.ny.gov/outdoor/31469.html,Queens,-73.759579361,40.75864168,"(40.75864168, -73.759579361)"
Ohrbach Lake,9,None,None,,American Black Bass - Sunfish - Black Crappie,,Shore fishing only,,,,,Richmond,-74.123301693,40.58893499,"(40.58893499, -74.123301693)"
Oyster Bay Mill Pond,20,None,None,,Brown Trout - Rainbow Trout - American Black Bass - Sunfish - Chain Pickerel,,Shore fishing only,,http://www.dec.ny.gov/outdoor/24188.html,,http://www.dec.ny.gov/outdoor/31466.html,Nassau,-73.54014466,40.873075226,"(40.873075226, -73.54014466)"
Prospect Park Lake,48,None,None,,American Black Bass - Sunfish - Yellow Perch - Black Crappie - Chain Pickerel - Common carp,,Shore fishing only,,http://www.dec.ny.gov/outdoor/57276.html,http://www.dec.ny.gov/docs/fish_marine_pdf/prospectlkmap.pdf,http://www.dec.ny.gov/outdoor/31469.html,Kings,-73.968359817,40.655844307,"(40.655844307, -73.968359817)"
Randall Pond,4,None,None,Fishing Pier,Brown Trout - Rainbow Trout - American Black Bass - Sunfish,,Shore fishing only - Site includes accessible features,,http://www.dec.ny.gov/outdoor/24192.html,,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,-72.891232879,40.898616925,"(40.898616925, -72.891232879)"
Swan Lake,30,Hand Launch,Municipal,,Brook Trout - Brown Trout - Rainbow Trout - American Black Bass,,Electric motors only,,http://www.dec.ny.gov/outdoor/24198.html,,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,-72.99343686,40.769993656,"(40.769993656, -72.99343686)"
Swan Pond,57,Trailer Unimproved,County,,American Black Bass - Sunfish - Yellow Perch,Ice Fishing Permitted,Electric motors only,http://www.dec.ny.gov/outdoor/23865.html,http://www.dec.ny.gov/outdoor/24199.html,,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,-72.793241336,40.901744399,"(40.901744399, -72.793241336)"
Upper Lake,19,Hand Launch,Municipal,,Brown Trout - Rainbow Trout - Sunfish,,Electric motors only,,,,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,-72.93783355,40.844031148,"(40.844031148, -72.93783355)"
Upper Mills Pond,60,Hand Launch,DEC,,American Black Bass - Sunfish - Black Crappie - Chain Pickerel - Common carp,,10 horsepower limit,,http://www.dec.ny.gov/outdoor/24202.html,,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,-72.69239995,40.9154739,"(40.9154739, -72.69239995)"
Upper/Lower Twin Ponds,30,None,None,,Brown Trout - Rainbow Trout - American Black Bass - Sunfish - Black Crappie - Chain Pickerel - Common carp,,Shore fishing only,,,,http://www.dec.ny.gov/outdoor/31466.html,Nassau,-73.514553583,40.67778271,"(40.67778271, -73.514553583)"
VanCortlandt Lake,18,None,None,,American Black Bass - Sunfish - Yellow Perch - Black Crappie - Common carp,,Shore fishing only,,http://www.dec.ny.gov/outdoor/61807.html,http://www.dec.ny.gov/docs/fish_marine_pdf/vanclkmap.pdf,http://www.dec.ny.gov/outdoor/31469.html,Bronx,-73.889516006,40.890258385,"(40.890258385, -73.889516006)"
Wantagh Mill Pond,15,None,None,,American Black Bass - Sunfish - Yellow Perch - Black Crappie - Chain Pickerel - Common carp,,Shore fishing only,,http://www.dec.ny.gov/outdoor/24205.html,,http://www.dec.ny.gov/outdoor/31466.html,Nassau,-73.518390857,40.665608572,"(40.665608572, -73.518390857)"
West Lake,20,Hand Launch,Municipal,,Brown Trout - Rainbow Trout - American Black Bass - Sunfish,,Electric motors only,,http://www.dec.ny.gov/outdoor/24207.html,,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,-73.027869972,40.764362162,"(40.764362162, -73.027869972)"
Willowbrook Pond,5,None,None,,American Black Bass - Sunfish - Common carp,,Shore fishing only,,,,http://www.dec.ny.gov/outdoor/31469.html,Richmond,-74.157984808,40.605389434,"(40.605389434, -74.157984808)"
Willow/Meadow Lake,137.4,None,None,,Sunfish - Common carp,,Shore fishing only,,,,http://www.dec.ny.gov/outdoor/31469.html,Queens,-73.836717519,40.72981453,"(40.72981453, -73.836717519)"
Wolfes Pond,10,None,None,,American Black Bass - Sunfish - Black Crappie - Common carp,,Shore fishing only,,,,http://www.dec.ny.gov/outdoor/31469.html,Richmond,-74.192299306,40.515663097,"(40.515663097, -74.192299306)"
Ballston Lake,275,Hand Launch,Municipal,Fishing Pier,American Black Bass - Sunfish,Ice Fishing Permitted,,,http://www.dec.ny.gov/outdoor/76423.html,http://www.dec.ny.gov/docs/fish_marine_pdf/ballstnlkmap.pdf,,Saratoga,-73.857156539,42.938803042,"(42.938803042, -73.857156539)"
Bass Lake,40,None,None,,Brook Trout - Rainbow Trout,,Hike in - Baitfish prohibited,,,,,Essex,-73.679528436,43.975581291,"(43.975581291, -73.679528436)"
Beardsley/E. Canada Lk.,118,Hand Launch,Private,,Smallmouth Bass - Sunfish - Yellow Perch,Ice Fishing Permitted,10 horsepower limit,,,,http://www.dec.ny.gov/outdoor/31464.html,Montgomery,-74.746367814,43.033022847,"(43.033022847, -74.746367814)"
Big Moose Lake,1286,Trailer Improved,Private,,Lake Trout - Sunfish - Yellow Perch,,,,,http://www.dec.ny.gov/docs/fish_marine_pdf/bmoolkmap.pdf,,Herkimer,-74.848322771,43.830901616,"(43.830901616, -74.848322771)"
Big Trout Pond,153,None,None,,Brook Trout,,Hike in - Baitfish prohibited,,,,http://www.dec.ny.gov/outdoor/31493.html,St. Lawrence,-74.640289384,44.09544405,"(44.09544405, -74.640289384)"
Black Lake,7596,Trailer Improved,OPRHP (State Parks) - Private,Marina - Boat Rental - Campsite,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Northern Pike - Walleye - Common carp - Channel Catfish,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23866.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/blklkmap.pdf,http://www.dec.ny.gov/outdoor/31493.html,St. Lawrence,-75.60879103,44.503624103,"(44.503624103, -75.60879103)"
Blue Mountain Lake,1220,Trailer Improved,Private,Marina - Boat Rental - Campsite,Lake Trout - Atlantic salmon - Smallmouth Bass,,,,http://www.dec.ny.gov/outdoor/76378.html,http://www.dec.ny.gov/docs/fish_marine_pdf/bluemtlkmap.pdf,http://www.dec.ny.gov/outdoor/31451.html,Hamilton,-74.461755191,43.863653079,"(43.863653079, -74.461755191)"
Boy Scout Clear Pond,82,Hand Launch,DEC,,Rainbow Trout,,,,http://www.dec.ny.gov/outdoor/38324.html,http://www.dec.ny.gov/docs/fish_marine_pdf/clrpdmap.pdf,http://www.dec.ny.gov/outdoor/31444.html,Franklin,-74.285513126,44.587172541,"(44.587172541, -74.285513126)"
Brant Lake,1376,Trailer Improved,DEC,Marina - Boat Rental - Campsite,Brown Trout - Rainbow Trout - Smallmouth Bass - American Black Bass - Sunfish - Black Crappie - Chain Pickerel,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23860.html,http://www.dec.ny.gov/outdoor/38365.html,http://www.dec.ny.gov/docs/fish_marine_pdf/brantlkmap.pdf,http://www.dec.ny.gov/outdoor/31501.html,Warren,-73.703546287,43.71541924,"(43.71541924, -73.703546287)"
Bridgebrook Pond,95,None,None,,Brook Trout,,Hike in - Baitfish prohibited,,,,http://www.dec.ny.gov/outdoor/31493.html,St. Lawrence,-74.582666732,44.162017637,"(44.162017637, -74.582666732)"
Bugg Lake,80,None,None,,Brook Trout,,Hike in - Baitfish prohibited,,http://www.dec.ny.gov/outdoor/76383.html,http://www.dec.ny.gov/docs/fish_marine_pdf/buglkmap.pdf,http://www.dec.ny.gov/outdoor/31451.html,Hamilton,-74.729739572,43.768810418,"(43.768810418, -74.729739572)"
Bullhead Pond,19,None,None,,Brook Trout - Rainbow Trout,,,,http://www.dec.ny.gov/outdoor/38329.html,,http://www.dec.ny.gov/outdoor/31451.html,Hamilton,-74.242877244,43.806688873,"(43.806688873, -74.242877244)"
Butterfield Lake,1005,Trailer Improved,DEC,Campsite,Smallmouth Bass - Sunfish - Yellow Perch - Northern Pike,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23890.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/bfldlkmap.pdf,http://www.dec.ny.gov/outdoor/31454.html,Jefferson,-75.777989806,44.315828688,"(44.315828688, -75.777989806)"
Canada Lake,525,Trailer Improved,DEC,,Brown Trout - Lake Trout - Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Chain Pickerel,Ice Fishing Permitted,,,http://www.dec.ny.gov/outdoor/76363.html,http://www.dec.ny.gov/docs/fish_marine_pdf/cndalkmap.pdf,http://www.dec.ny.gov/outdoor/31445.html,Fulton,-74.518603095,43.169003095,"(43.169003095, -74.518603095)"
Carry Falls,3010,Trailer Unimproved,Private,Campsite,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Northern Pike - Walleye,Ice Fishing Permitted,,,,http://www.dec.ny.gov/docs/fish_marine_pdf/cfalresmap.pdf,http://www.dec.ny.gov/outdoor/31493.html,St. Lawrence,-74.733186757,44.407325308,"(44.407325308, -74.733186757)"
Lower Cascade Lake,45,Hand Launch,DEC,,Brook Trout - Brown Trout,,Baitfish prohibited,http://www.dec.ny.gov/outdoor/23897.html,http://www.dec.ny.gov/outdoor/38321.html,http://www.dec.ny.gov/docs/fish_marine_pdf/lrcasclkmap.pdf,http://www.dec.ny.gov/outdoor/31443.html,Essex,-73.865352359,44.23399448,"(44.23399448, -73.865352359)"
Chazy Lake,1807,Trailer Improved,DEC,,Rainbow Trout - Lake Trout - Atlantic salmon - Smallmouth Bass - Sunfish - Yellow Perch,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23904.html,http://www.dec.ny.gov/outdoor/71840.html,http://www.dec.ny.gov/docs/fish_marine_pdf/chzylkmap.pdf,http://www.dec.ny.gov/outdoor/31437.html,Clinton,-73.821413911,44.749077399,"(44.749077399, -73.821413911)"
Cheney Pond,70,Hand Launch,DEC,,Brook Trout - Brown Trout,,,,http://www.dec.ny.gov/outdoor/38321.html,,,Essex,-73.975289492,43.934632428,"(43.934632428, -73.975289492)"
Chittning Pond,65,Trailer Unimproved,DEC,Fishing Pier,American Black Bass - Sunfish - Yellow Perch,Ice Fishing Permitted,10 horsepower limit,http://www.dec.ny.gov/outdoor/23882.html,,,,Oneida,-75.314907681,42.911090765,"(42.911090765, -75.314907681)"
Clear Lake,157,Trailer Unimproved,Municipal,,American Black Bass - Sunfish - Black Crappie - Walleye,Ice Fishing Permitted,,,,http://www.dec.ny.gov/docs/fish_marine_pdf/clrlk2map.pdf,http://www.dec.ny.gov/outdoor/31454.html,Jefferson,-75.82654279,44.27794539,"(44.27794539, -75.82654279)"
Colton Flow,188,Trailer Improved,Private,,Smallmouth Bass - American Black Bass - Yellow Perch - Walleye,Ice Fishing Permitted,,,,,http://www.dec.ny.gov/outdoor/31493.html,St. Lawrence,-74.941939118,44.538151181,"(44.538151181, -74.941939118)"
Connery Pond,76,Hand Launch,Private,,Brown Trout - Rainbow Trout,Ice Fishing Permitted,,,http://www.dec.ny.gov/outdoor/38321.html,http://www.dec.ny.gov/docs/fish_marine_pdf/cnnrypdmap.pdf,http://www.dec.ny.gov/outdoor/31443.html,Essex,-73.932395385,44.312354026,"(44.312354026, -73.932395385)"
Cossayuna Lake,661,Trailer Improved,DEC,Boat Rental - Campsite,American Black Bass - Sunfish - Yellow Perch - Black Crappie,Ice Fishing Permitted,Site includes accessible features,http://www.dec.ny.gov/outdoor/23859.html,http://www.dec.ny.gov/outdoor/38367.html,http://www.dec.ny.gov/docs/fish_marine_pdf/cossyunalkmap.pdf,,Washington,-73.419491375,43.208031744,"(43.208031744, -73.419491375)"
Cranberry Lake,6995,Trailer Improved,DEC,Fishing Pier - Marina - Campsite,Brook Trout - Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Northern Pike,Ice Fishing Permitted,Site includes accessible features,http://www.dec.ny.gov/outdoor/23866.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/cbrylkmap.pdf,http://www.dec.ny.gov/outdoor/31493.html,St. Lawrence,-74.819334529,44.176023226,"(44.176023226, -74.819334529)"
Davis Lake,51,Hand Launch,OPRHP (State Parks),,Brown Trout,,,,http://www.dec.ny.gov/outdoor/38246.html,,,Clinton,-73.614679947,44.617264149,"(44.617264149, -73.614679947)"
Debar Pond,87,None,None,,Atlantic salmon,,Baitfish prohibited,,http://www.dec.ny.gov/outdoor/38324.html,,http://www.dec.ny.gov/outdoor/31444.html,Franklin,-74.194809245,44.623088812,"(44.623088812, -74.194809245)"
Deer Pond,110,None,None,,Brown Trout,,,,http://www.dec.ny.gov/outdoor/38324.html,,http://www.dec.ny.gov/outdoor/31444.html,Franklin,-74.390448872,44.271460116,"(44.271460116, -74.390448872)"
Delta Lake,1005,Trailer Improved,OPRHP (State Parks),Marina - Campsite,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Northern Pike - Chain Pickerel - Walleye - Common carp,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23882.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/deltlkmap.pdf,,Oneida,-75.43742771,43.290810538,"(43.290810538, -75.43742771)"
Dexter Lake,33,None,None,,Chain Pickerel,Ice Fishing Permitted,,,http://www.dec.ny.gov/outdoor/38327.html,,,Fulton,-74.598347429,43.2471685,"(43.2471685, -74.598347429)"
Eagle Lake,410,Trailer Unimproved,DEC,,Brown Trout - Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Northern Pike,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23897.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/eglelkmap.pdf,http://www.dec.ny.gov/outdoor/31443.html,Essex,-73.584448537,43.881950973,"(43.881950973, -73.584448537)"
Eighth Lake,302,Trailer Improved,DEC,Campsite,Rainbow Trout - Lake Trout - Atlantic salmon - Smallmouth Bass - Yellow Perch,,,http://www.dec.ny.gov/outdoor/23892.html,http://www.dec.ny.gov/outdoor/38329.html,,http://www.dec.ny.gov/outdoor/31451.html,Hamilton,-74.702499255,43.777439737,"(43.777439737, -74.702499255)"
First Lake,565,Trailer Unimproved,Municipal,Marina - Boat Rental,Rainbow Trout - Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Muskellunge - Northern Pike,Ice Fishing Permitted,,,,,http://www.dec.ny.gov/outdoor/31453.html,Herkimer,-74.922320838,43.715958021,"(43.715958021, -74.922320838)"
Follensby Clear Pond,492,Trailer Unimproved,DEC,,Atlantic salmon - Smallmouth Bass - American Black Bass - Sunfish - Northern Pike,Ice Fishing Permitted,Site includes accessible features,http://www.dec.ny.gov/outdoor/23896.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/flnsbypdmap.pdf,http://www.dec.ny.gov/outdoor/31444.html,Franklin,-74.348168295,44.317470391,"(44.317470391, -74.348168295)"
Forked Lake,1265,Trailer Unimproved,DEC,Campsite,Smallmouth Bass - American Black Bass,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23892.html,http://www.dec.ny.gov/outdoor/76388.html,http://www.dec.ny.gov/docs/fish_marine_pdf/frkdlkmap.pdf,http://www.dec.ny.gov/outdoor/31451.html,Hamilton,-74.564328654,43.902189974,"(43.902189974, -74.564328654)"
Fourth Lake,2041,Trailer Improved,DEC,Fishing Pier - Marina - Boat Rental - Campsite,Rainbow Trout - Lake Trout - Atlantic salmon - Sunfish - Yellow Perch - Northern Pike,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23891.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/frthlk2map.pdf,http://www.dec.ny.gov/outdoor/31451.html,Hamilton,-74.835860674,43.760713853,"(43.760713853, -74.835860674)"
Francis Lake,134,Hand Launch,DEC,,Sunfish - Yellow Perch - Chain Pickerel,Ice Fishing Permitted,Site includes accessible features,http://www.dec.ny.gov/outdoor/23889.html,,http://www.dec.ny.gov/docs/wildlife_pdf/franlkmap.pdf,,Lewis,-75.16990313,43.85729483,"(43.85729483, -75.16990313)"
Franklin Falls Flow,437,Hand Launch,DEC,,Smallmouth Bass - Sunfish - Yellow Perch - Walleye,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23897.html,http://www.dec.ny.gov/outdoor/71825.html,http://www.dec.ny.gov/docs/fish_marine_pdf/fnkflowmap.pdf,http://www.dec.ny.gov/outdoor/31443.html,Essex,-73.987387339,44.420705905,"(44.420705905, -73.987387339)"
Glen Lake,319,Trailer Unimproved,Private,,Rainbow Trout - American Black Bass - Sunfish - Yellow Perch - Black Crappie,Ice Fishing Permitted,,,,http://www.dec.ny.gov/docs/fish_marine_pdf/glenlkmap.pdf,http://www.dec.ny.gov/outdoor/31501.html,Warren,-73.67325285,43.363617885,"(43.363617885, -73.67325285)"
Good Luck Lake,87,None,None,,Sunfish - Yellow Perch - Chain Pickerel,Ice Fishing Permitted,,,http://www.dec.ny.gov/outdoor/38329.html,,http://www.dec.ny.gov/outdoor/31451.html,Hamilton,-74.541975308,43.248513495,"(43.248513495, -74.541975308)"
Goose Pond,63,None,None,,Brook Trout - Rainbow Trout,,Hike in - Baitfish prohibited,,http://www.dec.ny.gov/outdoor/38321.html,,,Essex,-73.678607365,43.841658996,"(43.841658996, -73.678607365)"
Grass Lake,320,Trailer Unimproved,DEC,,American Black Bass - Sunfish - Yellow Perch - Black Crappie - Muskellunge - Northern Pike,Ice Fishing Permitted,10 horsepower limit,http://www.dec.ny.gov/outdoor/23866.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/graslkmap.pdf,http://www.dec.ny.gov/outdoor/31493.html,St. Lawrence,-75.711497789,44.339949429,"(44.339949429, -75.711497789)"
Great Sacandaga Lake,26656,Trailer Improved,DEC (4),Marina - Campsite - Fishing Pier,Rainbow Trout - Smallmouth Bass - Yellow Perch - Black Crappie - Northern Pike - Walleye - Common carp - Channel Catfish,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23895.html,http://www.dec.ny.gov/outdoor/76474.html,http://www.dec.ny.gov/docs/fish_marine_pdf/gtscdgalkmap.pdf,http://www.dec.ny.gov/outdoor/31445.html,Fulton/Saratoga,-74.16305383,43.158865444,"(43.158865444, -74.16305383)"
Green Pond,63,Hand Launch,DEC,,Brook Trout,,,,http://www.dec.ny.gov/outdoor/76474.html,,http://www.dec.ny.gov/outdoor/31444.html,Franklin,-74.336579028,44.340058257,"(44.340058257, -74.336579028)"
Mason Lake,90,Hand Launch,DEC,,American Black Bass,Ice Fishing Permitted,,,,,http://www.dec.ny.gov/outdoor/31451.html,Hamilton,-74.422234343,43.597047214,"(43.597047214, -74.422234343)"
Higley Falls Reservoir,693,Trailer Improved,OPRHP (State Parks),Boat Rental - Campsite,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Northern Pike - Walleye,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23866.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/higresmap.pdf,http://www.dec.ny.gov/outdoor/31493.html,St. Lawrence,-74.912549064,44.512731291,"(44.512731291, -74.912549064)"
Hinckley Reservoir,2755,Trailer Improved,Private,,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Chain Pickerel,Ice Fishing Permitted,,,,,,Herkimer,-75.073944446,43.332516404,"(43.332516404, -75.073944446)"
Hoel Pond,445,Hand Launch,DEC,,Lake Trout - Atlantic salmon - Smallmouth Bass - American Black Bass - Yellow Perch,,,,http://www.dec.ny.gov/outdoor/38324.html,http://www.dec.ny.gov/docs/fish_marine_pdf/hoelpdmap.pdf,http://www.dec.ny.gov/outdoor/31444.html,Franklin,-74.351054631,44.350473672,"(44.350473672, -74.351054631)"
Horseshoe Lake,417,Trailer Unimproved,DEC,Fishing Pier - Campsite,American Black Bass - Sunfish - Yellow Perch - Muskellunge,Ice Fishing Permitted,Site includes accessible features,,,http://www.dec.ny.gov/docs/fish_marine_pdf/horlkmap.pdf,http://www.dec.ny.gov/outdoor/31493.html,St. Lawrence,-74.621857754,44.131612352,"(44.131612352, -74.621857754)"
Horseshoe Pond,82,None,None,,Brook Trout - Rainbow Trout,,Canoe portage,,http://www.dec.ny.gov/outdoor/38324.html,,http://www.dec.ny.gov/outdoor/31444.html,Franklin,-74.358233389,44.323533922,"(44.323533922, -74.358233389)"
